current_date_formatted,current_label_en,current_lat,current_lng,current_confirmed
10.08.2020,Chernihivska,51.355018,32.004509,1024
11.08.2020,Chernihivska,51.355018,32.004509,1038
12.08.2020,Chernihivska,51.355018,32.004509,1080
13.08.2020,Chernihivska,51.355018,32.004509,1107
14.08.2020,Chernihivska,51.355018,32.004509,1154
15.08.2020,Chernihivska,51.355018,32.004509,1174
16.08.2020,Chernihivska,51.355018,32.004509,1206
17.08.2020,Chernihivska,51.355018,32.004509,1233
18.08.2020,Chernihivska,51.355018,32.004509,1250
19.08.2020,Chernihivska,51.355018,32.004509,1278
20.08.2020,Chernihivska,51.355018,32.004509,1314
21.08.2020,Chernihivska,51.355018,32.004509,1366
22.08.2020,Chernihivska,51.355018,32.004509,1423
23.08.2020,Chernihivska,51.355018,32.004509,1468
24.08.2020,Chernihivska,51.355018,32.004509,1520
25.08.2020,Chernihivska,51.355018,32.004509,1552
26.08.2020,Chernihivska,51.355018,32.004509,1570
27.08.2020,Chernihivska,51.355018,32.004509,1618
28.08.2020,Chernihivska,51.355018,32.004509,1676
29.08.2020,Chernihivska,51.355018,32.004509,1745
30.08.2020,Chernihivska,51.355018,32.004509,1777
31.08.2020,Chernihivska,51.355018,32.004509,1894
01.09.2020,Chernihivska,51.355018,32.004509,1941
02.09.2020,Chernihivska,51.355018,32.004509,1990
03.09.2020,Chernihivska,51.355018,32.004509,2050
04.09.2020,Chernihivska,51.355018,32.004509,2150
05.09.2020,Chernihivska,51.355018,32.004509,2230
06.09.2020,Chernihivska,51.355018,32.004509,2286
07.09.2020,Chernihivska,51.355018,32.004509,2372
08.09.2020,Chernihivska,51.355018,32.004509,2450
09.09.2020,Chernihivska,51.355018,32.004509,2515
10.09.2020,Chernihivska,51.355018,32.004509,2545
11.09.2020,Chernihivska,51.355018,32.004509,2574
12.09.2020,Chernihivska,51.355018,32.004509,2654
13.09.2020,Chernihivska,51.355018,32.004509,2714
14.09.2020,Chernihivska,51.355018,32.004509,2788
15.09.2020,Chernihivska,51.355018,32.004509,2846
16.09.2020,Chernihivska,51.355018,32.004509,2922
17.09.2020,Chernihivska,51.355018,32.004509,3034
18.09.2020,Chernihivska,51.355018,32.004509,3133
19.09.2020,Chernihivska,51.355018,32.004509,3188
