current_date_formatted,current_label_en,current_death
09.05.2020,Chernihivska,6
10.05.2020,Chernihivska,6
11.05.2020,Chernihivska,6
12.05.2020,Chernihivska,6
13.05.2020,Chernihivska,6
14.05.2020,Chernihivska,6
15.05.2020,Chernihivska,6
16.05.2020,Chernihivska,6
17.05.2020,Chernihivska,6
18.05.2020,Chernihivska,6
19.05.2020,Chernihivska,6
20.05.2020,Chernihivska,6
21.05.2020,Chernihivska,6
22.05.2020,Chernihivska,6
23.05.2020,Chernihivska,6
24.05.2020,Chernihivska,6
25.05.2020,Chernihivska,6
26.05.2020,Chernihivska,6
27.05.2020,Chernihivska,6
28.05.2020,Chernihivska,6
29.05.2020,Chernihivska,6
30.05.2020,Chernihivska,6
31.05.2020,Chernihivska,6
01.06.2020,Chernihivska,6
02.06.2020,Chernihivska,6
03.06.2020,Chernihivska,6
04.06.2020,Chernihivska,7
05.06.2020,Chernihivska,8
06.06.2020,Chernihivska,8
07.06.2020,Chernihivska,8
08.06.2020,Chernihivska,8
09.06.2020,Chernihivska,8
10.06.2020,Chernihivska,8
11.06.2020,Chernihivska,8
12.06.2020,Chernihivska,8
13.06.2020,Chernihivska,9
14.06.2020,Chernihivska,9
15.06.2020,Chernihivska,10
16.06.2020,Chernihivska,10
17.06.2020,Chernihivska,10
18.06.2020,Chernihivska,10
19.06.2020,Chernihivska,10
20.06.2020,Chernihivska,10
21.06.2020,Chernihivska,10
22.06.2020,Chernihivska,10
23.06.2020,Chernihivska,10
24.06.2020,Chernihivska,10
25.06.2020,Chernihivska,10
26.06.2020,Chernihivska,10
27.06.2020,Chernihivska,10
28.06.2020,Chernihivska,10
29.06.2020,Chernihivska,10
30.06.2020,Chernihivska,10
01.07.2020,Chernihivska,10
02.07.2020,Chernihivska,11
03.07.2020,Chernihivska,11
04.07.2020,Chernihivska,11
05.07.2020,Chernihivska,12
06.07.2020,Chernihivska,12
07.07.2020,Chernihivska,13
08.07.2020,Chernihivska,13
09.07.2020,Chernihivska,13
10.07.2020,Chernihivska,14
11.07.2020,Chernihivska,14
12.07.2020,Chernihivska,14
13.07.2020,Chernihivska,14
14.07.2020,Chernihivska,14
15.07.2020,Chernihivska,14
16.07.2020,Chernihivska,14
17.07.2020,Chernihivska,14
18.07.2020,Chernihivska,14
19.07.2020,Chernihivska,14
20.07.2020,Chernihivska,14
21.07.2020,Chernihivska,15
22.07.2020,Chernihivska,15
23.07.2020,Chernihivska,15
24.07.2020,Chernihivska,17
25.07.2020,Chernihivska,17
26.07.2020,Chernihivska,17
27.07.2020,Chernihivska,17
28.07.2020,Chernihivska,18
29.07.2020,Chernihivska,18
30.07.2020,Chernihivska,18
31.07.2020,Chernihivska,18
01.08.2020,Chernihivska,18
02.08.2020,Chernihivska,18
03.08.2020,Chernihivska,18
04.08.2020,Chernihivska,18
05.08.2020,Chernihivska,18
06.08.2020,Chernihivska,18
07.08.2020,Chernihivska,18
08.08.2020,Chernihivska,18
09.08.2020,Chernihivska,18
10.08.2020,Chernihivska,18
11.08.2020,Chernihivska,18
12.08.2020,Chernihivska,18
13.08.2020,Chernihivska,18
14.08.2020,Chernihivska,18
15.08.2020,Chernihivska,19
16.08.2020,Chernihivska,19
17.08.2020,Chernihivska,19
18.08.2020,Chernihivska,21
19.08.2020,Chernihivska,21
20.08.2020,Chernihivska,22
21.08.2020,Chernihivska,22
22.08.2020,Chernihivska,22
23.08.2020,Chernihivska,22
24.08.2020,Chernihivska,22
25.08.2020,Chernihivska,22
26.08.2020,Chernihivska,22
27.08.2020,Chernihivska,22
28.08.2020,Chernihivska,22
29.08.2020,Chernihivska,22
30.08.2020,Chernihivska,22
31.08.2020,Chernihivska,22
01.09.2020,Chernihivska,22
02.09.2020,Chernihivska,22
03.09.2020,Chernihivska,22
04.09.2020,Chernihivska,22
05.09.2020,Chernihivska,27
06.09.2020,Chernihivska,27
07.09.2020,Chernihivska,27
08.09.2020,Chernihivska,30
09.09.2020,Chernihivska,33
10.09.2020,Chernihivska,35
11.09.2020,Chernihivska,35
12.09.2020,Chernihivska,35
13.09.2020,Chernihivska,35
14.09.2020,Chernihivska,35
15.09.2020,Chernihivska,35
16.09.2020,Chernihivska,40
17.09.2020,Chernihivska,44
18.09.2020,Chernihivska,46
19.09.2020,Chernihivska,46
20.09.2020,Chernihivska,46
