Forecast Day,Quantile,Hidden,Hospital,Fatality,Mild,Cases,Hidden CI,Hospital CI,Fatality CI,Mild CI,Cases CI
Jun-9,0.5,3365,999,997,5501,42308,±51,±15,±10,±81,±438
Jun-9,0.95,4338,1282,1206,7090,50978
Jun-10,0.05,2435,723,829,4001,34922
Jun-10,0.5,3386,1013,1019,5548,43258,±52,±15,±10,±82,±450
Jun-10,0.95,4396,1305,1229,7144,52036
Jun-11,0.05,2452,734,851,4027,35579
Jun-11,0.5,3436,1018,1042,5603,44179,±53,±15,±11,±83,±463
Jun-11,0.95,4449,1309,1259,7244,53188
Jun-12,0.05,2487,740,868,4051,36116
Jun-12,0.5,3457,1028,1068,5671,45087,±54,±15,±11,±84,±476
Jun-12,0.95,4517,1339,1296,7246,54296
Jun-13,0.05,2495,752,880,4088,36774
Jun-13,0.5,3501,1035,1092,5713,46002,±55,±15,±11,±85,±489
Jun-13,0.95,4611,1340,1327,7298,55352
Jun-14,0.05,2554,753,898,4135,37423
Jun-14,0.5,3538,1043,1117,5770,46948,±56,±16,±12,±87,±502
Jun-14,0.95,4647,1351,1357,7387,56637
Jun-15,0.05,2555,755,915,4182,38086
Jun-15,0.5,3571,1054,1140,5809,47901,±57,±16,±12,±88,±516
Jun-15,0.95,4743,1380,1386,7479,57725
Jun-16,0.05,2573,758,924,4217,38910
Jun-16,0.5,3602,1062,1168,5868,48865,±57,±16,±12,±89,±529
Jun-16,0.95,4739,1387,1418,7577,59159
Jun-17,0.05,2597,763,942,4269,39552
Jun-17,0.5,3625,1073,1189,5910,49861,±58,±17,±13,±91,±543
Jun-17,0.95,4856,1403,1447,7627,60407
Jun-18,0.05,2622,772,963,4314,40212
Jun-18,0.5,3657,1086,1217,5979,50883,±59,±17,±13,±92,±558
Jun-18,0.95,4882,1425,1480,7773,61677
Jun-19,0.05,2640,780,984,4339,40900
Jun-19,0.5,3688,1095,1243,6047,51842,±60,±17,±13,±94,±572
Jun-19,0.95,4945,1442,1514,7838,62987
Jun-20,0.05,2666,792,1001,4365,41558
Jun-20,0.5,3731,1103,1269,6091,52847,±61,±17,±14,±95,±587
Jun-20,0.95,4991,1462,1542,7987,64409
Jun-21,0.05,2689,801,1020,4409,42261
Jun-21,0.5,3772,1119,1294,6139,53888,±62,±18,±14,±97,±602
Jun-21,0.95,4997,1457,1576,8134,65718
Jun-22,0.05,2714,807,1046,4427,43157
Jun-22,0.5,3800,1127,1322,6185,54914,±62,±18,±14,±98,±617
Jun-22,0.95,5031,1474,1612,8193,67055
Jun-23,0.05,2742,808,1063,4465,43845
Jun-23,0.5,3846,1138,1350,6257,55943,±63,±18,±15,±100,±633
